Age,DBH_Est,Stem,Branch,Leaf,Root,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
32.0,23.8248,200.0223,151.8208,8.0976,31.0033,390.944,35.2642,355.6798,426.2083
32.25,23.8363,200.2412,152.0244,8.1011,31.0333,391.4,35.6146,355.7855,427.0146
32.5,23.8475,200.4527,152.2212,8.1044,31.0623,391.8406,35.9579,355.8827,427.7985
32.75,23.8583,200.657,152.4113,8.1077,31.0903,392.2662,36.2943,355.972,428.5605
33.0,23.8688,200.8544,152.5949,8.1108,31.1174,392.6775,36.6238,356.0537,429.3012
33.25,23.8788,201.045,152.7724,8.1138,31.1435,393.0747,36.9464,356.1283,430.0212
33.5,23.8886,201.2292,152.9439,8.1167,31.1688,393.4585,37.2623,356.1962,430.7208
33.75,23.8979,201.4071,153.1096,8.1195,31.1932,393.8293,37.5715,356.2578,431.4008
34.0,23.907,201.5789,153.2696,8.1222,31.2167,394.1875,37.874,356.3135,432.0615
34.25,23.9158,201.7449,153.4243,8.1248,31.2394,394.5335,38.1699,356.3635,432.7034
34.5,23.9242,201.9052,153.5737,8.1273,31.2614,394.8677,38.4594,356.4082,433.3271
34.75,23.9324,202.0601,153.718,8.1298,31.2826,395.1905,38.7425,356.448,433.933
35.0,23.9402,202.2097,153.8574,8.1321,31.3031,395.5023,39.0193,356.4831,434.5216
